_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
325,13b8,,9.0,0.0,0.9456758871674538,,,,,,,,,,,
326,83b3,Queensland australia,133.0,453.0,1.101883314549923,,,,,,,,,,,
327,812d,,2.0,0.0,0.8859398365020752,,,,,,,,,,,
328,a102,,3.0,0.0,0.884972058236599,,,,,,,,,,,
329,D659,フーシャ村,11.0,0.0,1.086221270263195,,,,,,,,,,,
330,dcaa,"Madison, WI",336.0,3.0,1.0475080907344818,,,,,,,,,,,
331,95cc,madrid,1.0,0.0,0.0,,,,,,,,,,,
332,e5ff,,1.0,0.0,0.9153158217668533,,,,,,,,,,,
333,74a3,,2490.0,543.0,1.1044197380542755,,,,,,,,,,,
334,c46d,,5.0,226.0,1.0157220512628555,,,,,,,,,,,
335,F3b6,,2.0,0.0,1.0050808191299438,,,,,,,,,,,
336,541D,Bandung,164.0,5443.0,0.9654638431966305,,,,,,,,,,,
337,150c,"横浜市
",599.0,9.0,1.120001144707203,,,,,,,,,,,
338,e451,,11.0,0.0,0.9520666263997555,,,,,,,,,,,
339,198a,,1.0,0.0,0.9153158217668533,,,,,,,,,,,
340,930E,,2.0,0.0,0.9585389271378517,,,,,,,,,,,
341,cca2,,6.0,0.0,1.0311630852520466,,,,,,,,,,,
342,BA18,,1.0,0.0,1.0533043444156647,,,,,,,,,,,
343,FDC2,,2.0,0.0,1.1625195741653442,,,,,,,,,,,
344,035A,,2.0,0.0,0.9492704570293427,,,,,,,,,,,
345,7929,,9.0,8.0,1.0410584807395935,,,,,,,,,,,
346,e215,,3022.0,3274.0,0.8634691834449768,,,,,,,,,,,
347,9Bad,,5.0,0.0,1.0428562834858894,,,,,,,,,,,
348,c1b2,,1.0,0.0,1.0560187995433807,,,,,,,,,,,
349,7ab3,,1.0,0.0,0.0,,,,,,,,,,,
350,bac7,,12.0,649.0,1.1147747337818146,,,,,,,,,,,
351,B507,,4.0,0.0,1.0828610062599182,,,,,,,,,,,
352,fe3d,EUA,1.0,0.0,1.0562841482460499,,,,,,,,,,,
353,a2c0,,1.0,1.0,0.8259735405445099,,,,,,,,,,,
354,bb9c,,2.0,0.0,0.7776920348405838,,,,,,,,,,,
355,bf79,Budapest,7967.0,562.0,1.0254273507744074,,,,,,,,,,,
356,7C8b,,4.0,0.0,0.8956592530012131,,,,,,,,,,,
357,BF3C,Paris,5.0,1.0,1.080132357776165,,,,,,,,,,,
358,AD22,,2.0,0.0,1.0049755834043026,,,,,,,,,,,
359,590A,"Staffordshire, United Kingdom",5.0,1.0,0.9786563478410244,,,,,,,,,,,
360,A135,,2.0,0.0,0.785327821969986,,,,,,,,,,,
361,6020,,5.0,1.0,0.9680432826280594,,,,,,,,,,,
362,4974,,1.0,0.0,1.0827548205852509,,,,,,,,,,,
363,7429,"seoul, korea",7.0,0.0,0.8677009791135788,,,,,,,,,,,
364,be58,,1.0,0.0,1.077240251004696,,,,,,,,,,,
365,15f7,,5.0,1.0,0.8854341506958008,,,,,,,,,,,
366,C57D,,2981.0,1130.0,1.0560187995433807,,,,,,,,,,,
367,B137,,1.0,0.0,0.0,,,,,,,,,,,
368,D27F,,4279.0,2.0,0.9172362238168716,,,,,,,,,,,
369,3d23,abu dhabi,2.0,0.0,0.8259735405445099,,,,,,,,,,,
370,C4e8,"10.446194,-66.853089",1.0,21.0,0.9868060182780027,,,,,,,,,,,
371,551a,川口市,14.0,0.0,0.7509758621454239,,,,,,,,,,,
372,5674,,1.0,0.0,1.1625195741653442,,,,,,,,,,,
373,cbc3,,3.0,0.0,1.0414547137916088,,,,,,,,,,,
374,ddea,,1.0,0.0,0.0,,,,,,,,,,,
